Codigo_Entidad,Entidad,poblacion_total
18860,Valparaíso,8065
19000,Cauca,1753848
19001,Popayán,381959
19022,Almaguer,20857
19050,Argelia,30837
19075,Balboa,24756
19100,Bolívar,42566
19110,Buenos Aires,37218
19130,Cajibío,50506
19137,Caldono,48514
19142,Caloto,35176
19212,Corinto,30228
19256,El Tambo,63437
19290,Florencia,5901
19300,Guachené,23138
19318,Guapi,32761
19355,Inzá,33156
19364,Jambaló,21562
19392,La Sierra,12497
19397,La Vega,27749
19418,López,21974
19450,Mercaderes,27569
19455,Miranda,36578
19473,Morales,48692
19513,Padilla,11815
19517,Paéz,57581
19532,Patía,43302
19533,Piamonte,10730
19548,Piendamó,47719
19573,Puerto Tejada,49063
19585,Puracé,20335
19622,Rosas,13206
19693,San Sebastián,12301
19698,Santander de Quilichao,137323
19701,Santa Rosa,6032
19743,Silvia,44640
19760,Sotará,16285
19780,Suárez,40499
19785,Sucre,10974
19807,Timbío,42402
19809,Timbiquí,31989
19821,Toribío,43946
19824,Totoró,30219
19845,Villa Rica,25856
20000,Cesar,1573360
20001,Valledupar,651801
20011,Aguachica,144257
20013,Agustín Codazzi,75713
20032,Astrea,24818
20045,Becerril,29200
20060,Bosconia,52365
20175,Chimichagua,41940
20178,Chiriguaná,35645
20228,Curumaní,48944
20238,El Copey,38415
20250,El Paso,50471
20295,Gamarra,18082
20310,González,5397
20383,La Gloria,21420
20400,La Jagua de Ibirico,64493
20443,Manaure,12766
20517,Pailitas,23409
20550,Pelaya,26592
20570,Pueblo Bello,36550
20614,Río de Oro,21203
20621,La Paz,35912
20710,San Alberto,34039
20750,San Diego,25151
20770,San Martín,36016
20787,Tamalameque,18761
23000,Córdoba,2168849
23001,Montería,613184
23068,Ayapel,55505
23079,Buenavista,24864
23090,Canalete,18168
23162,Cereté,129970
23168,Chimá,21131
23182,Chinú,57209
23189,Ciénaga de Oro,69514
23300,Cotorra,23304
23350,La Apartada,18020
23417,Lorica,134100
23419,Los Córdobas,21588
23464,Momil,24416
23466,Montelíbano,97959
23500,Moñitos,36376
23555,Planeta Rica,74533
23570,Pueblo Nuevo,42210
23574,Puerto Escondido,27498
23580,Puerto Libertador,50819
23586,Purísima,20925
23660,Sahagún,129976
23670,San Andrés Sotavento,58665
23672,San Antero,42491
23675,San Bernardo del Viento,44848
23678,San Carlos,31939
23682,San José de Ure,16769
23686,San Pelayo,62767
23807,Tierralta,111776
23815,Tuchín,67062
23855,Valencia,41263
25000,Cundinamarca,3732806
25001,Agua de Dios,12927
25019,Albán,7596
25035,Anapoima,17721
25040,Anolaima,15799
25053,Arbeláez,11916
25086,Beltrán,2002
25095,Bituima,2674
25099,Bojacá,12022
25120,Cabrera,5360
25123,Cachipay,11288
25126,Cajicá,123902
25148,Caparrapí,13028
25151,Cáqueza,19892
25154,Carmen de Carupa,8653
25168,Chaguaní,4677
25175,Chía,181002
25178,Chipaque,11216
25181,Choachí,12521
25183,Chocontá,24436
25200,Cogua,27245
25214,Cota,48750
25224,Cucunubá,9099
25245,El Colegio,28372
25258,El Peñón,5142
25260,El Rosal,29159
25269,Facatativá,177186
25279,Fómeque,13660
25281,Fosca,6363
25286,Funza,124893
25288,Fúquene,5548
25290,Fusagasugá,168367
25293,Gachalá,4995
25295,Gachancipá,22682
25297,Gachetá,9446
25299,Gama,3505
25307,Girardot,114955
25312,Granada,8476
25317,Guachetá,16136
25320,Guaduas,33789
25322,Guasca,19085
25324,Guataquí,3329
25326,Guatavita,7176
25328,Guayabal de Síquima,5351
25335,Guayabetal,7719
25339,Gutiérrez,3910
25368,Jerusalén,2384
25372,Junín,5920
25377,La Calera,44992
25386,La Mesa,39374
25394,La Palma,10513
25398,La Peña,6550
25402,La Vega,20459
25407,Lenguazaque,11826
25426,Machetá,6833
25430,Madrid,150022
25436,Manta,3874
25438,Medina,9347
25473,Mosquera,182152
25483,Nariño,2686
25486,Nemocón,16301
25488,Nilo,11871
25489,Nimaima,3982
25491,Nocaima,6353
25506,Venecia,4894
25513,Pacho,27726
25518,Paime,4366
25524,Pandi,5458
25530,Paratebueno,9957
25535,Pasca,10468
25572,Puerto Salgar,17510
25580,Pulí,3885
25592,Quebradanegra,5322
25594,Quetame,5840
25596,Quipile,6479
25599,Apulo,9450
25612,Ricaurte,16243
25645,San Antonio del Tequendama,13363
25649,San Bernardo,9624
25653,San Cayetano,5376
25658,San Francisco,13338
25662,San Juan de Río Seco,9172
25718,Sasaima,12306
25736,Sesquilé,13976
25740,Sibaté,44246
25743,Silvania,24728
25745,Simijaca,15599
25754,Soacha,894300
25758,Sopó,35738
25769,Subachoque,19373
25772,Suesca,21156
25777,Supatá,5973
25779,Susa,7355
25781,Sutatausa,7346
25785,Tabio,25634
25793,Tausa,9554
25797,Tena,11673
25799,Tenjo,27025
25805,Tibacuy,4739
25807,Tibirita,3594
25815,Tocaima,17627
25817,Tocancipá,52973
25823,Topaipí,4432
25839,Ubalá,8700
25841,Ubaque,7599
25843,Villa de San Diego de Ubate,52393
25845,Une,7686
25851,Útica,4748
25862,Vergara,7397
25867,Vianí,4990
25871,Villagómez,1849
25873,Villapinzón,20267
25875,Villeta,31844
25878,Viotá,14788
25885,Yacopí,12732
25898,Zipacón,5214
25899,Zipaquirá,176372
27000,Chocó,653537
27001,Quibdó,158434
27006,Acandí,17448
27025,Alto Baudó,32864
27050,Atrato,7133
27073,Bagadó,13513
27075,Bahía Solano,11943
27077,Bajo Baudó,37662
27099,Bojayá,14482
27135,El Cantón del San Pablo,7187
27150,Carmen del Darién,23488
27160,Cértegui,6650
27205,Condoto,14413
27245,El Carmen de Atrato,9608
27250,El Litoral del San Juan,28482
27361,Istmina,38646
27372,Juradó,8780
27413,Lloró,11236
27425,Medio Atrato,12578
27430,Medio Baudó,18551
27450,Medio San Juan,12394
27491,Nóvita,10861
27495,Nuquí,20395
27580,Río Iró,6338
27600,Río Quito,9601
27615,Riosucio,67332
27660,San José del Palmar,5846
